tconst	Budget	Box_Office	Star_1	Star_2	Star_3	Star_num1	Star_num2	Star_num3
tt0187738	54000000	155010032	Wesley Snipes	Kris Kristofferson	Ron Perlman	nm0000648	nm0001434	nm0000579
tt0188160	18000000	3548556	Jimmy Smits	Maria del Mar	Jon Seda	nm0001751	nm0544691	nm0781218
tt0188453	13000000	16171098	Nicole Kidman	Vincent Cassel	Ben Chaplin	nm0000173	nm0001993	nm0001035
tt0189192	35000000	16176732	Jean Reno	Christina Applegate	Christian Clavier	nm0000606	nm0000775	nm0002010
tt0189998	8000000	11155214	John Malkovich	Willem Dafoe	Udo Kier	nm0000518	nm0000353	nm0001424
tt0190138	41300000	106371651	Bruce Willis	Matthew Perry	Rosanna Arquette	nm0000246	nm0001612	nm0000275
tt0190332	17000000	213525736	Yun-Fat Chow	Michelle Yeoh	Ziyi Zhang	nm0000334	nm0000706	nm0955471
tt0190374	45000000	33978694	Justin Whalin	Jeremy Irons	Zoe McLellan	nm0923529	nm0000460	nm0572721
tt0190590	26000000	71868327	George Clooney	John Turturro	Tim Blake Nelson	nm0000123	nm0001806	nm0625789
tt0190861	36000000	184301	Gérard Depardieu	Uma Thurman	Tim Roth	nm0000367	nm0000235	nm0000619
tt0190865	75000000	215663859	Scott Glenn	Chris O'Donnell	Bill Paxton	nm0001277	nm0000563	nm0000200
tt0191133	30000000	32445215	Cuba Gooding Jr.	Beyoncé	Mike Epps	nm0000421	nm0461498	nm0258402
tt0191397	50000000	50054511	Keanu Reeves	Gene Hackman	Brooke Langton	nm0000206	nm0000432	nm0486728
tt0191754	43000000	62198945	Sandra Bullock	Viggo Mortensen	Dominic West	nm0000113	nm0001557	nm0922035
tt0192071	22000000	19900366	Kirsten Dunst	Ben Foster	Melissa Sagemiller	nm0000379	nm0004936	nm0756089
tt0192111	14000000	13127022	Monica Potter	Freddie Prinze Jr.	Shalom Harlow	nm0005321	nm0005327	nm0363371
tt0192255	35000000	27965865	Jonathan Lipnicki	Rollo Weeks	Richard E. Grant	nm0005151	nm0917353	nm0001290
tt0192614	35000000	50802120	Joshua Jackson	Paul Walker	Hill Harper	nm0005045	nm0908094	nm0004991
tt0192731	14000000	38574362	Jennifer Morrison	Matthew Davis	Hart Bochner	nm0607185	nm0205127	nm0000952
tt0193135	2500000	2000	David Paymer	Judge Reinhold	Rosalind Chao	nm0001601	nm0001662	nm0001034
tt0193364	12000000	524637	Jean-Claude Van Damme	Sofia Milos	Charlton Heston	nm0000241	nm0590499	nm0000032
tt0193560	38000000	763740	James Van Der Beek	Rachael Leigh Cook	Ashton Kutcher	nm0004735	nm0000337	nm0005110
tt0193854	9000000	133122	Robert Duvall	Michael Keaton	Andy Gray	nm0000380	nm0000474	nm0336444
tt0194218	1000000	779137	William H. Macy	Neve Campbell	John Ritter	nm0000513	nm0000117	nm0000615
tt0195234	10000000	28741330	Brenda Blethyn	Craig Ferguson	Martin Clunes	nm0000950	nm0272401	nm0167340
tt0195685	52000000	256271286	Julia Roberts	Albert Finney	David Brisbin	nm0000210	nm0001215	nm0109773
tt0195714	23000000	112880294	Devon Sawa	Ali Larter	Kerr Smith	nm0001701	nm0005123	nm0005445
tt0195778	15000000	10873148	Chris Klein	Leelee Sobieski	Josh Hartnett	nm0005098	nm0005447	nm0001326
tt0195945	11000000	59827328	Ice Cube	Mike Epps	Justin Pierce	nm0001084	nm0258402	nm0682399
tt0196069	3000000	3278767	Shawn Ku	Christy Chung	Neelesha Barthel	nm0473329	nm0161198	nm0061088
tt0196106	4500000	1248746	Bernie	Louie	Mac	nm1725860	nm1732008	nm2948338
tt0196158	7000000	379739	Tom Sizemore	Dennis Hopper	Steven Seagal	nm0001744	nm0000454	nm0000219
tt0196216	25000000	29934477	Woody Allen	Tracey Ullman	Hugh Grant	nm0000095	nm0001808	nm0000424
tt0196229	28000000	60780981	Ben Stiller	Owen Wilson	Christine Taylor	nm0001774	nm0005562	nm0852132
tt0196811	4838400	60820	Camila Morgado	Caco Ciocler	Luís Melo	nm1143788	nm0162535	nm0578064
tt0198021	15000000	40863718	Natalie Portman	James Frain	Ashley Judd	nm0000204	nm0289656	nm0000171
tt0198386	38000000	13105853	Richard Dreyfuss	Burt Reynolds	Dan Hedaya	nm0000377	nm0000608	nm0000445
tt0198781	115000000	632316649	Billy Crystal	John Goodman	Mary Gibbs	nm0000345	nm0000422	nm0316701
tt0199290	3400000	9832166	Brian Hooks	N'Bushe Wright	Faizon Love	nm0393655	nm0942668	nm0522324
tt0199626	12000000	23726793	Meg Ryan	Mark Ruffalo	Jennifer Jason Leigh	nm0000212	nm0749263	nm0000492
tt0199725	20000000	27728118	Sanaa Lathan	Omar Epps	Glenndon Chatman	nm0005125	nm0004898	nm0154071
tt0199753	80000000	33463969	Val Kilmer	Carrie-Anne Moss	Tom Sizemore	nm0000174	nm0005251	nm0001744
tt0200027	48000000	35743308	Drew Barrymore	Steve Zahn	Adam Garcia	nm0000106	nm0001872	nm0305081
tt0200465	20000000	64828421	Jason Statham	Saffron Burrows	Stephen Campbell Moore	nm0005458	nm0004787	nm1304386
tt0200530	250000	1182065	Mike White	Chris Weitz	Lupe Ontiveros	nm0925234	nm0919363	nm0648913
tt0200550	45000000	113916474	Piper Perabo	Adam Garcia	John Goodman	nm0005305	nm0305081	nm0000422
tt0200669	15000000	5753678	Uma Thurman	Jeremy Northam	Kate Beckinsale	nm0000235	nm0000562	nm0000295
tt0200720	10000000	5164404	Gillian Anderson	Dan Aykroyd	Eleanor Bron	nm0000096	nm0000101	nm0111376
tt0201485	30000000	280777	Antonio Banderas	Olivia Williams	John Shrapnel	nm0000104	nm0931404	nm0795344
tt0202402	32000000	9902115	Shane West	Marla Sokoloff	Jodi Lyn O'Keefe	nm0922342	nm0005448	nm0005281
tt0202470	57000000	19334145	Mark Wahlberg	Jennifer Aniston	Dominic West	nm0000242	nm0000098	nm0922035
tt0202677	8500000	13200972	Ryan Phillippe	Benicio Del Toro	Juliette Lewis	nm0000202	nm0001125	nm0000496
tt0203009	50000000	184928135	Nicole Kidman	Ewan McGregor	John Leguizamo	nm0000173	nm0000191	nm0000491
tt0203019	32000000	82343495	Cuba Gooding Jr.	Robert De Niro	Charlize Theron	nm0000421	nm0000134	nm0000234
tt0203230	1200000	11242521	Laura Linney	Matthew Broderick	Amy Ryan	nm0001473	nm0000111	nm0752407
tt0203289	250000	1104408	Deep Katdare	Ronobir Lahiri	Purva Bedi	nm0441209	nm0481573	nm0066072
tt0203540	1903697	1961054	Clive Owen	Helen Mirren	David Kelly	nm0654110	nm0000545	nm0446303
tt0203755	18000000	13578186	Liv Tyler	Matt Dillon	Mary Jo Smith	nm0000239	nm0000369	nm0809277
tt0204137	3600000	43805	Willem Dafoe	Edward Furlong	Danny Trejo	nm0000353	nm0000411	nm0001803
tt0204175	35000000	25850615	Freddie Prinze Jr.	Claire Forlani	Brendon Ryan Barrett	nm0005327	nm0001231	nm0057075
tt0204313	80000000	76899937	Stellan Skarsgård	Izabella Scorupco	James D'Arcy	nm0001745	nm0001713	nm0195439
tt0204626	30000000	47267829	James Spader	Keanu Reeves	Marisa Tomei	nm0000652	nm0000206	nm0000673
tt0204933	2000000	114015	Jacqueline Aguirre	Susan Brecht	Molly Bryant	nm1354222	nm0106526	nm0117192
tt0204946	11000000	90449929	Kirsten Dunst	Eliza Dushku	Jesse Bradford	nm0000379	nm0244630	nm0103038
tt0205177	2789300	15932	Harry Enfield	Kathy Burke	Rhys Ifans	nm0256960	nm0121755	nm0406975
tt0205271	23000000	22844291	Richard Gere	Helen Hunt	Farrah Fawcett	nm0000152	nm0000166	nm0000396
tt0205461	19000000	19748009	Alec Baldwin	Cody McMains	Russell Means	nm0000285	nm0573097	nm0575184
tt0206113	13500000	517262	Jim Caviezel	Mary McCormack	Jake Lloyd	nm0001029	nm0005203	nm0005157
tt0206226	1500000	268117	Lauren Ambrose	Nicholas Brendon	Thomas Gibson	nm0024404	nm0107183	nm0004959
tt0206275	13000000	131706809	Julia Stiles	Sean Patrick Thomas	Kerry Washington	nm0005466	nm0859503	nm0913488
tt0206314	23000000	36642838	Steve Zahn	Paul Walker	Leelee Sobieski	nm0001872	nm0908094	nm0005447
tt0206420	8000000	10194274	Penélope Cruz	Murilo Benício	Harold Perrineau	nm0004851	nm0073162	nm0674782
tt0206634	76000000	70099445	Julianne Moore	Clive Owen	Chiwetel Ejiofor	nm0000194	nm0654110	nm0252230
tt0206963	5250000	595005	Albert Brooks	Leelee Sobieski	Rutanya Alda	nm0000983	nm0005447	nm0017377
tt0207201	70000000	374111707	Mel Gibson	Helen Hunt	Marisa Tomei	nm0000154	nm0000166	nm0000673
tt0207524	7300000	73510	Kenneth Branagh	Robin Wright	Suzi Hofrichter	nm0000110	nm0000705	nm0389423
